Index,class
40977,1
24157,0
56238,1
55411,1
53175,1
30996,1
41265,1
45220,0
16775,1
53168,1
54117,1
35937,1
57354,1
21311,1
46646,1
4660,0
2903,0
28876,0
3331,1
1928,1
24976,0
42702,1
57443,1
51201,0
30745,1
790,1
37199,1
28003,1
2140,1
27041,1
1260,0
27467,1
22268,1
25828,1
51202,1
53787,0
27098,1
28185,1
50280,1
7028,1
41482,1
35166,1
48246,1
7678,0
11729,1
51658,1
11679,1
1693,1
24553,1
14098,1
5043,1
53015,1
15455,1
30674,1
17736,0
8113,1
13537,0
2603,1
13377,1
26234,1
17785,1
1270,0
36488,1
41603,1
10218,1
7692,1
12228,1
33718,1
9288,0
5270,1
38418,1
37349,1
22848,0
49949,1
39015,1
3965,1
27605,1
36673,1
55781,1
2634,0
28658,1
46444,1
7950,1
17304,0
15981,0
10707,0
26528,1
39851,1
49159,1
44058,1
25541,1
35456,1
4295,1
27811,1
7158,1
21534,0
3683,1
18530,1
16575,1
20316,1
52830,1
26752,0
40132,0
620,1
5861,0
16746,1
6867,0
28324,0
32244,1
21508,0
30136,1
36934,1
32661,0
35332,1
38708,1
43718,1
23238,1
54044,1
38327,1
34209,0
29494,1
56009,1
8091,1
18003,1
29096,0
32675,1
23075,1
55547,1
4174,0
28310,1
7226,0
19613,1
55548,1
39235,1
42863,1
2533,1
1457,0
48338,1
31136,1
36071,0
24886,1
17943,1
48898,1
35156,1
2689,1
14314,1
41616,1
17096,1
33731,1
27226,1
16194,0
11295,1
9774,1
12882,0
36502,1
7469,0
31074,1
23729,0
35016,1
51475,1
48563,1
56327,1
3205,0
31455,0
34475,1
17286,0
35914,1
43597,1
43812,1
3559,1
41392,1
52702,1
5135,1
51730,1
5764,0
10740,1
25138,1
27257,1
50829,0
41056,1
56728,1
32267,1
45789,1
55317,1
9869,0
44378,1
21350,1
54576,1
24238,1
55082,1
16778,1
17743,1
35777,1
37840,1
46421,1
53303,1
3149,1
45045,1
44453,1
43119,1
55539,1
41272,1
8491,0
31858,1
1851,1
28435,1
8355,0
53556,1
4692,1
56881,1
9694,0
22991,1
11559,1
42443,1
30547,1
44946,1
7035,0
3357,0
31041,1
53987,1
30767,1
46502,1
51424,1
38999,0
51561,1
2498,1
8444,1
52847,1
39388,1
32423,1
20797,1
19841,1
5724,1
27877,1
27668,1
35030,1
11500,1
37873,1
29935,0
8398,1
46730,1
12366,1
12240,1
46527,1
34929,1
6872,0
52592,0
46185,1
36417,1
21853,0
39980,1
13911,1
12605,1
25990,0
56015,1
54580,1
5466,1
45963,1
31107,1
30528,0
11279,1
44840,1
54937,1
31029,1
44787,1
41727,1
36843,0
45052,1
1391,1
54874,1
52652,1
57360,1
27243,0
50357,0
56874,1
52855,1
14340,1
18419,1
11421,0
9421,1
1800,1
41452,1
3152,1
40378,1
57921,1
35029,1
33334,1
1383,1
51655,1
7736,0
25511,1
32640,1
12235,0
17273,1
17233,1
57331,1
2188,1
49673,1
34481,0
57749,0
42150,1
51852,1
19615,0
23787,1
15201,1
8865,1
52714,0
34757,1
35772,0
896,1
23462,0
11854,0
17746,0
42892,1
44192,0
1212,1
49518,0
32797,1
49706,1
19431,1
57919,1
41052,1
48669,1
50827,1
3595,1
2523,1
54397,1
30646,1
25733,1
24695,0
32846,1
46803,1
41760,1
50451,1
52375,1
22005,0
54797,1
15438,0
34939,1
24777,1
42818,1
3064,1
42715,1
27092,1
52341,1
32514,1
42984,1
50973,1
38866,1
37252,1
26624,1
34086,1
53979,1
27561,1
25737,1
18224,0
58121,1
48463,1
24850,1
9030,1
5806,1
14817,0
42828,0
33902,1
22673,1
6953,1
38784,1
47736,1
36687,1
14865,1
54900,1
10753,0
52568,1
24429,0
42110,1
32958,1
49739,1
41526,1
41674,1
7576,1
14421,0
36496,1
48362,1
49538,0
34118,0
43723,1
27027,0
52132,0
18339,1
38856,1
42930,1
16227,1
6466,1
33192,1
28483,1
3970,0
57040,1
15008,1
3621,0
54410,0
1246,1
29065,0
40084,0
38408,1
10499,1
42454,1
26289,1
3283,0
20705,1
49038,0
24347,1
3633,1
31276,1
14378,0
164,1
36759,1
42992,1
24923,0
57412,1
6065,0
28469,0
9920,1
3219,1
13323,1
40592,1
56078,1
4527,1
52589,0
24971,1
30681,1
40450,1
11495,1
19331,0
12152,1
47222,0
24586,1
40226,1
16049,0
14349,1
30994,1
716,0
6473,0
184,0
33339,1
3011,0
57773,1
54171,1
30835,0
9302,1
19077,0
45037,1
23558,1
37302,0
56990,1
26766,0
1153,0
49550,1
7003,1
28961,0
53506,1
39006,1
32197,1
10075,0
33783,1
54788,1
17959,0
55660,1
42835,1
55381,1
28714,1
22439,1
7911,1
48479,1
38033,0
38810,1
46461,1
49266,1
39732,1
13554,1
18376,1
19088,0
15488,1
50742,1
52463,1
40692,1
46629,1
40827,1
